log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
7.4992509,.36153609,11.695247,.021613,1.3862944,.69314718,3.7376697,2,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
5.7281332,.36073998,11.042922,.0070547881,1.6094379,1.3862944,3.8286414,5,1,0,0,1,0,0,1,0,0,0,0,0,CA,2.8637257
7.2296352,.36151847,11.258033,.025556093,1.3862944,.69314718,3.4011974,2,0,0,0,1,0,0,0,0,0,1,0,0,CA,2.8637257
8.3277111,.36180544,11.695247,.049502578,1.0986123,.69314718,4.0604429,2,1,0,1,0,0,0,0,1,0,0,0,0,CA,2.8637257
7.2624235,.36159611,11.695247,.017056445,1.0986123,.69314718,3.8501475,1,1,0,0,1,0,0,0,0,0,1,0,0,CA,2.8637257
8.142621,.36164841,11.695247,.041131649,1.3862944,1.3862944,3.8501475,3,0,0,1,0,0,0,0,0,1,0,0,0,CA,2.8637257
7.3630562,.36158234,11.695247,.018861949,1.0986123,.69314718,3.8066626,2,0,0,1,0,0,0,1,0,0,0,0,0,CA,2.8637257
7.0403047,.36136252,11.695247,.013655951,1.3862944,.69314718,3.6635616,2,1,0,0,0,1,0,0,0,0,1,0,0,CA,2.8637257
7.5952983,.36159062,11.407565,.031724181,1.6094379,.69314718,3.4339871,2,0,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
6.9200625,.36152843,10.021271,.064591028,1.0986123,.69314718,3.2188759,1,1,0,1,0,0,0,0,1,0,0,0,0,CA,2.8637257
8.0808039,.3616221,10.95954,.08069212,1.7917595,1.6094379,3.9889841,4,1,1,0,0,0,0,0,0,0,1,0,0,CA,2.8637257
6.4954314,.36095819,11.695247,.0079160938,1.3862944,.69314718,3.5263605,2,1,0,1,0,0,0,0,0,0,0,1,0,CA,2.8637257
7.2560277,.36150077,11.695247,.016946081,1.0986123,.69314718,3.4965076,2,1,0,1,0,0,0,0,0,0,0,1,0,CA,2.8637257
7.5997214,.36161655,11.695247,.023899227,1.0986123,.69314718,3.4965076,2,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
7.2553701,.36112934,11.191341,.028019838,1.0986123,.69314718,3.8286414,2,1,0,0,0,1,0,0,0,0,0,1,0,CA,2.8637257
6.5454164,.3612434,10.95954,.017372258,1.0986123,.69314718,3.583519,2,0,0,0,1,0,0,0,0,0,1,0,0,CA,2.8637257
5.6257963,.36107743,8.922658,.053089045,1.3862944,0,3.6109178,0,0,1,0,0,0,1,0,0,0,0,0,0,CA,2.8637257
7.7080779,.36154521,11.695247,.026632473,1.6094379,1.0986123,3.713572,2,1,0,1,0,0,0,0,0,0,1,0,0,CA,2.8637257
